function,ncalls,tottime,cumtime
fromnumeric.py:109:take,1,6.67e-07,9.250000000000001e-05
fromnumeric.py:1129:argsort,1,1.667e-06,3.325e-05
fromnumeric.py:89:_wrapreduction_any_all,6,9.668000000000001e-06,2.9083000000000003e-05
~:0:<built-in method math.prod>,1,8.33e-07,8.33e-07
numerictypes.py:293:issubclass_,14,6.958e-06,1.2290000000000001e-05
_ufunc_config.py:462:__exit__,1,8.340000000000001e-07,1.5e-06
fromnumeric.py:3052:max,1,1.5e-06,1.9667e-05
numeric.py:1469:<genexpr>,8,1.958e-06,2.5010000000000003e-06
fromnumeric.py:105:_take_dispatcher,1,1.2500000000000002e-07,1.2500000000000002e-07
fromnumeric.py:753:_partition_dispatcher,1,1.2500000000000002e-07,1.2500000000000002e-07
fromnumeric.py:1125:_argsort_dispatcher,1,1.2500000000000002e-07,1.2500000000000002e-07
fromnumeric.py:1246:_argmax_dispatcher,1,8.3e-08,8.3e-08
fromnumeric.py:1617:_squeeze_dispatcher,1,1.2500000000000002e-07,1.2500000000000002e-07
fromnumeric.py:1900:_ravel_dispatcher,9,9.170000000000001e-07,9.170000000000001e-07
fromnumeric.py:2333:_sum_dispatcher,3,4.16e-07,4.16e-07
fromnumeric.py:3047:_max_dispatcher,1,1.2500000000000002e-07,1.2500000000000002e-07
fromnumeric.py:3519:_ndim_dispatcher,6,5.41e-07,5.41e-07
numerictypes.py:475:issubdtype,7,8.628000000000001e-06,2.1834e-05
fromnumeric.py:2338:sum,3,5.376000000000001e-06,2.2250000000000002e-05
fromnumeric.py:2477:any,3,2.667e-06,1.3875e-05
fromnumeric.py:2589:all,3,1.875e-06,1.9750000000000002e-05
shape_base.py:295:hstack,4,3.9497000000000005e-05,5.2375000000000006e-05
fromnumeric.py:1250:argmax,1,4.000000000000001e-06,1.8750000000000002e-05
_methods.py:57:_any,5,3.001e-06,1.7001000000000002e-05
_methods.py:66:_all,2,9.58e-07,5.2500000000000006e-06
numeric.py:2279:allclose,1,3.7090000000000004e-06,8.25e-05
shape_base.py:208:_arrays_for_stack_dispatcher,4,1.958e-06,2.917e-06
fromnumeric.py:51:_wrapfunc,3,5.8750000000000005e-06,0.000138166
fromnumeric.py:757:partition,1,4.625000000000001e-06,3.6917e-05
numeric.py:324:full,4,2.0877e-05,2.6000000000000002e-05
numeric.py:1964:isscalar,3,1.083e-06,1.7500000000000002e-06
fromnumeric.py:2472:_any_dispatcher,3,3.3300000000000003e-07,3.3300000000000003e-07
fromnumeric.py:2584:_all_dispatcher,3,2.5000000000000004e-07,2.5000000000000004e-07
fromnumeric.py:3730:_mean_dispatcher,3,2.5000000000000004e-07,2.5000000000000004e-07
fromnumeric.py:3864:_std_dispatcher,15307,0.0008808020000000001,0.0008808020000000001
shape_base.py:216:_vhstack_dispatcher,4,2.2080000000000003e-06,5.125e-06
numeric.py:2275:_allclose_dispatcher,1,1.2500000000000002e-07,1.2500000000000002e-07
numeric.py:2369:_isclose_dispatcher,1,8.3e-08,8.3e-08
_stride_tricks_impl.py:24:_maybe_view_as_subclass,1,3.75e-07,3.75e-07
_function_base_impl.py:5661:append,9,2.4957000000000002e-05,4.1332000000000003e-05
_datasource.py:290:_possible_names,2,4.0830000000000005e-06,2.7042000000000003e-05
shape_base.py:17:_atleast_1d_dispatcher,6,4.1700000000000004e-07,4.1700000000000004e-07
numeric.py:1478:_moveaxis_dispatcher,2,1.67e-07,1.67e-07
function_base.py:21:_linspace_dispatcher,3,3.34e-07,3.34e-07
_datasource.py:371:abspath,1,3.334e-06,2.5e-05
_stride_tricks_impl.py:413:_broadcast_shape,2,5e-06,5.208e-06
_stride_tricks_impl.py:481:broadcast_arrays,2,6.6650000000000006e-06,2.7041e-05
_function_base_impl.py:358:iterable,1,8.750000000000001e-07,1.0000000000000002e-06
_stride_tricks_impl.py:345:<genexpr>,2,2.5000000000000004e-07,2.5000000000000004e-07
_function_base_impl.py:3936:median,1,3.125e-06,8.6958e-05
_datasource.py:245:__init__,1,1.9590000000000002e-06,0.000272042
_stride_tricks_impl.py:477:_broadcast_arrays_dispatcher,2,1.67e-07,1.67e-07
_function_base_impl.py:1387:_diff_dispatcher,5,5.01e-07,5.01e-07
_npyio_impl.py:816:_ensure_ndmin_ndarray,1,3.125e-06,5.75e-06
_function_base_impl.py:3931:_median_dispatcher,1,4.2000000000000006e-08,4.2000000000000006e-08
_function_base_impl.py:5657:_append_dispatcher,9,8.32e-07,8.32e-07
_npyio_impl.py:806:_ensure_ndmin_ndarray_check_param,1,2.92e-07,2.92e-07
_datasource.py:154:open,1,3.6240000000000004e-06,0.000595041
_datasource.py:128:keys,5,6.3760000000000004e-06,1.1958000000000001e-05
_type_check_impl.py:84:real,2,5.420000000000001e-07,5.420000000000001e-07
_datasource.py:483:open,1,6.166000000000001e-06,0.000319375
_datasource.py:299:_isurl,3,1.0999000000000001e-05,4.7583e-05
~:0:<method 'all' of 'numpy.generic' objects>,2,6.041e-06,1.1291e-05
~:0:<method 'any' of 'numpy.generic' objects>,1,1.5e-06,4.0830000000000005e-06
~:0:<method 'as_arrays' of 'numpy._core._multiarray_umath._array_converter' objects>,3,8.750000000000001e-07,8.750000000000001e-07
~:0:<method 'result_type' of 'numpy._core._multiarray_umath._array_converter' objects>,3,1.833e-06,1.833e-06
~:0:<method 'wrap' of 'numpy._core._multiarray_umath._array_converter' objects>,3,1.041e-06,1.041e-06
~:0:<method 'any' of 'numpy.ndarray' objects>,4,6.206e-06,2.0624e-05
~:0:<method 'argmax' of 'numpy.ndarray' objects>,1,1.1166000000000001e-05,1.1166000000000001e-05
