function,ncalls,tottime,cumtime
fromnumeric.py:51:_wrapfunc,6,6.795e-06,0.000527876
fromnumeric.py:757:partition,1,1.7920000000000002e-06,0.000600209
numeric.py:324:full,4,1.1001e-05,1.5834e-05
numeric.py:1964:isscalar,2,5.41e-07,8.33e-07
fromnumeric.py:109:take,1,6.67e-07,8.7459e-05
fromnumeric.py:1129:argsort,1,1.584e-06,0.00039520900000000004
fromnumeric.py:89:_wrapreduction_any_all,9,1.1498e-05,3.654e-05
getlimits.py:722:max,3,7.49e-07,7.49e-07
_ufunc_config.py:462:__exit__,2,2.5410000000000003e-06,3.666e-06
fromnumeric.py:3052:max,1,6.25e-07,4.875e-06
fromnumeric.py:3328:prod,3,2.25e-06,4.8041e-05
numeric.py:1469:<genexpr>,8,1.543e-06,2.042e-06
multiarray.py:115:empty_like,7,6.68e-07,6.68e-07
multiarray.py:698:result_type,17,1.3780000000000002e-06,1.3780000000000002e-06
fromnumeric.py:105:_take_dispatcher,1,8.3e-08,8.3e-08
fromnumeric.py:1250:argmax,1,9.58e-07,1.0667000000000001e-05
_methods.py:57:_any,5,2.335e-06,1.6501e-05
_methods.py:66:_all,4,1.126e-06,7.792000000000001e-06
numeric.py:2279:allclose,2,5.8750000000000005e-06,0.000147125
shape_base.py:208:_arrays_for_stack_dispatcher,4,1.584e-06,2.5e-06
multiarray.py:391:where,6,5.84e-07,5.84e-07
multiarray.py:769:dot,2,2.09e-07,2.09e-07
multiarray.py:1106:copyto,5,4.5700000000000003e-07,4.5700000000000003e-07
numerictypes.py:475:issubdtype,7,6.708000000000001e-06,1.9374e-05
fromnumeric.py:2338:sum,2,3.0020000000000002e-06,1e-05
fromnumeric.py:2236:_clip_dispatcher,3,3.34e-07,3.34e-07
fromnumeric.py:2472:_any_dispatcher,3,2.91e-07,2.91e-07
fromnumeric.py:2584:_all_dispatcher,6,6.240000000000001e-07,6.240000000000001e-07
fromnumeric.py:3730:_mean_dispatcher,3,3.75e-07,3.75e-07
fromnumeric.py:3864:_std_dispatcher,15307,0.0008138980000000001,0.0008138980000000001
shape_base.py:216:_vhstack_dispatcher,4,2.041e-06,4.541e-06
numeric.py:2275:_allclose_dispatcher,2,2.5000000000000004e-07,2.5000000000000004e-07
numeric.py:2369:_isclose_dispatcher,2,2.08e-07,2.08e-07
fromnumeric.py:2477:any,3,2.5e-06,1.2833e-05
fromnumeric.py:2589:all,6,4.752e-06,3.0959e-05
fromnumeric.py:753:_partition_dispatcher,1,1.2500000000000002e-07,1.2500000000000002e-07
fromnumeric.py:1125:_argsort_dispatcher,1,1.2500000000000002e-07,1.2500000000000002e-07
fromnumeric.py:1246:_argmax_dispatcher,1,8.3e-08,8.3e-08
fromnumeric.py:1617:_squeeze_dispatcher,1,8.400000000000001e-08,8.400000000000001e-08
fromnumeric.py:1900:_ravel_dispatcher,21,1.582e-06,1.582e-06
fromnumeric.py:2333:_sum_dispatcher,2,1.66e-07,1.66e-07
fromnumeric.py:3047:_max_dispatcher,1,4.2000000000000006e-08,4.2000000000000006e-08
fromnumeric.py:3323:_prod_dispatcher,3,1.2500000000000002e-07,1.2500000000000002e-07
fromnumeric.py:3519:_ndim_dispatcher,5,3.7400000000000004e-07,3.7400000000000004e-07
_methods.py:45:_amin,3,8.760000000000001e-07,1.2501000000000001e-05
_methods.py:49:_sum,1,4.1700000000000004e-07,3.7090000000000004e-06
_stride_tricks_impl.py:413:_broadcast_shape,8,1.1749e-05,1.2457000000000001e-05
_stride_tricks_impl.py:481:broadcast_arrays,8,1.4169000000000001e-05,4.6250000000000006e-05
shape_base.py:17:_atleast_1d_dispatcher,6,4.18e-07,4.18e-07
numeric.py:1478:_moveaxis_dispatcher,2,1.67e-07,1.67e-07
shape_base.py:21:atleast_1d,6,7.289000000000001e-06,1.2333e-05
_datasource.py:371:abspath,1,3.0820000000000003e-06,2.3666e-05
_stride_tricks_impl.py:24:_maybe_view_as_subclass,1,2.5000000000000004e-07,2.5000000000000004e-07
_function_base_impl.py:5661:append,9,1.6211e-05,2.7336e-05
_datasource.py:290:_possible_names,2,3.5390000000000003e-06,2.5708000000000002e-05
_npyio_impl.py:816:_ensure_ndmin_ndarray,1,1.916e-06,3.417e-06
function_base.py:21:_linspace_dispatcher,2,1.66e-07,1.66e-07
_stride_tricks_impl.py:345:<genexpr>,2,2.92e-07,2.92e-07
_function_base_impl.py:358:iterable,1,7.5e-07,8.750000000000001e-07
_function_base_impl.py:3936:median,1,2.792e-06,0.000637042
_datasource.py:128:keys,5,6.584000000000001e-06,1.2668000000000001e-05
_type_check_impl.py:84:real,2,5.41e-07,5.41e-07
_datasource.py:483:open,1,4.834000000000001e-06,0.00027558300000000003
_datasource.py:299:_isurl,3,1.0709e-05,4.1750000000000005e-05
_function_base_impl.py:1387:_diff_dispatcher,6,5.44e-07,5.44e-07
~:0:<method 'all' of 'numpy.generic' objects>,4,7.875e-06,1.5667e-05
~:0:<method 'any' of 'numpy.generic' objects>,1,1.2080000000000001e-06,2.7500000000000004e-06
~:0:<method 'as_arrays' of 'numpy._core._multiarray_umath._array_converter' objects>,2,5.84e-07,5.84e-07
~:0:<method 'result_type' of 'numpy._core._multiarray_umath._array_converter' objects>,2,9.59e-07,9.59e-07
~:0:<method 'wrap' of 'numpy._core._multiarray_umath._array_converter' objects>,2,6.67e-07,6.67e-07
~:0:<method 'any' of 'numpy.ndarray' objects>,4,5.916000000000001e-06,2.0875000000000003e-05
~:0:<method 'argmax' of 'numpy.ndarray' objects>,1,8.083e-06,8.083e-06
