function,ncalls,tottime,cumtime
fromnumeric.py:109:take,1,6.25e-07,8.691700000000001e-05
fromnumeric.py:1129:argsort,1,1.791e-06,3.1708e-05
fromnumeric.py:89:_wrapreduction_any_all,6,9.788e-06,2.7998000000000002e-05
~:0:<built-in method math.prod>,1,8.33e-07,8.33e-07
numerictypes.py:293:issubclass_,14,6.459e-06,1.1916e-05
_ufunc_config.py:462:__exit__,1,8.750000000000001e-07,1.4590000000000001e-06
fromnumeric.py:3052:max,1,1.5830000000000001e-06,1.7e-05
numeric.py:1469:<genexpr>,8,1.624e-06,2.25e-06
fromnumeric.py:105:_take_dispatcher,1,8.400000000000001e-08,8.400000000000001e-08
fromnumeric.py:753:_partition_dispatcher,1,1.2500000000000002e-07,1.2500000000000002e-07
fromnumeric.py:1125:_argsort_dispatcher,1,8.400000000000001e-08,8.400000000000001e-08
fromnumeric.py:1246:_argmax_dispatcher,1,1.2500000000000002e-07,1.2500000000000002e-07
fromnumeric.py:1617:_squeeze_dispatcher,1,8.3e-08,8.3e-08
fromnumeric.py:1900:_ravel_dispatcher,9,5.44e-07,5.44e-07
fromnumeric.py:2333:_sum_dispatcher,3,3.35e-07,3.35e-07
fromnumeric.py:3047:_max_dispatcher,1,8.3e-08,8.3e-08
fromnumeric.py:3519:_ndim_dispatcher,6,5.000000000000001e-07,5.000000000000001e-07
numerictypes.py:475:issubdtype,7,8.667e-06,2.1166e-05
fromnumeric.py:2338:sum,3,4.085e-06,1.6834000000000002e-05
fromnumeric.py:2477:any,3,3.3760000000000004e-06,1.5375e-05
fromnumeric.py:2589:all,3,1.584e-06,1.7583e-05
shape_base.py:295:hstack,4,3.583e-05,4.6458e-05
fromnumeric.py:1250:argmax,1,2.6250000000000003e-06,1.5542e-05
_methods.py:57:_any,5,2.916e-06,2.2291e-05
_methods.py:66:_all,2,8.33e-07,4.583e-06
numeric.py:2279:allclose,1,3.833e-06,7.8e-05
shape_base.py:208:_arrays_for_stack_dispatcher,4,1.669e-06,2.668e-06
fromnumeric.py:51:_wrapfunc,3,5.957000000000001e-06,0.000129126
fromnumeric.py:757:partition,1,2.7090000000000002e-06,3.5042e-05
numeric.py:324:full,4,2.0501000000000002e-05,2.5459e-05
numeric.py:1964:isscalar,3,9.99e-07,1.624e-06
fromnumeric.py:2472:_any_dispatcher,3,3.3300000000000003e-07,3.3300000000000003e-07
fromnumeric.py:2584:_all_dispatcher,3,3.3300000000000003e-07,3.3300000000000003e-07
fromnumeric.py:3730:_mean_dispatcher,3,3.7400000000000004e-07,3.7400000000000004e-07
fromnumeric.py:3864:_std_dispatcher,15307,0.000827736,0.000827736
shape_base.py:216:_vhstack_dispatcher,4,2.04e-06,4.7080000000000005e-06
numeric.py:2275:_allclose_dispatcher,1,1.2500000000000002e-07,1.2500000000000002e-07
numeric.py:2369:_isclose_dispatcher,1,8.400000000000001e-08,8.400000000000001e-08
_stride_tricks_impl.py:24:_maybe_view_as_subclass,1,2.92e-07,2.92e-07
_function_base_impl.py:5661:append,9,2.0581e-05,3.4749e-05
_datasource.py:290:_possible_names,2,3.333e-06,2.2125000000000002e-05
