function,ncalls,tottime,cumtime
<frozen codecs>:263:__init__,1,2.5000000000000004e-07,2.5000000000000004e-07
<frozen abc>:117:__instancecheck__,4,2.333e-06,6.595800000000001e-05
<frozen abc>:121:__subclasscheck__,28,4.0830000000000005e-06,4.8501e-05
<frozen genericpath>:157:_splitext,3,3.0420000000000003e-06,3.7920000000000003e-06
_local.py:237:_format_parsed_parts,1,1.0000000000000002e-06,1.542e-06
<frozen codecs>:312:__init__,1,2.0830000000000002e-06,2.333e-06
<frozen posixpath>:131:splitdrive,4,1.083e-06,1.374e-06
<frozen codecs>:334:getstate,3,8.74e-07,8.74e-07
<frozen genericpath>:16:exists,1,1.125e-06,1.2208e-05
<frozen _collections_abc>:108:_check_methods,1,2.25e-06,2.25e-06
<frozen posixpath>:117:splitext,3,3.2510000000000003e-06,7.626e-06
<frozen codecs>:322:decode,3,3.1670000000000003e-06,9.958e-06
<frozen os>:1127:__subclasshook__,1,1.0000000000000002e-06,3.2500000000000002e-06
<frozen posixpath>:42:_get_sep,3,7.5e-07,1.167e-06
contextlib.py:361:__enter__,1,1.2500000000000002e-07,1.2500000000000002e-07
_local.py:166:__fspath__,1,1.5830000000000001e-06,3.525e-05
contextlib.py:359:__init__,1,6.67e-07,6.67e-07
contextlib.py:786:__init__,1,7.5e-07,7.5e-07
_local.py:289:drive,1,3.876e-06,2.6042000000000002e-05
_local.py:298:root,1,8.400000000000001e-08,8.400000000000001e-08
_local.py:307:_tail,1,1.2500000000000002e-07,1.2500000000000002e-07
_local.py:277:_raw_path,1,2.167e-06,9.791e-06
contextlib.py:363:__exit__,1,1.666e-06,6.5000000000000004e-06
_local.py:227:__str__,1,5.874e-06,3.3667e-05
getlimits.py:709:min,3,1.5410000000000002e-06,1.5410000000000002e-06
~:0:<method 'disable' of '_lsprof.Profiler' objects>,1,1.1959e-05,1.1959e-05
~:0:<built-in method math.factorial>,3,7.49e-07,7.49e-07
~:0:<built-in method math.prod>,1,6.25e-07,6.25e-07
~:0:<method 'append' of 'list' objects>,38,1.8956000000000003e-05,1.8956000000000003e-05
~:0:<method 'insert' of 'list' objects>,2,6.25e-07,6.25e-07
~:0:<method 'index' of 'list' objects>,1,3.3300000000000003e-07,3.3300000000000003e-07
~:0:<method 'bit_length' of 'int' objects>,3,3.75e-07,3.75e-07
~:0:<method 'get' of 'dict' objects>,8,2.4170000000000003e-06,2.4170000000000003e-06
~:0:<method 'pop' of 'dict' objects>,2,7.5e-07,7.5e-07
~:0:<method 'keys' of 'dict' objects>,5,6.68e-07,6.68e-07
~:0:<method 'items' of 'dict' objects>,15,2.583e-06,2.583e-06
~:0:<method 'update' of 'dict' objects>,2,1.8760000000000001e-06,1.8760000000000001e-06
~:0:<method 'copy' of 'dict' objects>,1,4.5800000000000005e-07,4.5800000000000005e-07
~:0:<built-in method __new__ of type object at 0x1039e7cf0>,7,1.7500000000000002e-06,1.7500000000000002e-06
~:0:<method 'replace' of 'str' objects>,12,1.9600000000000003e-06,1.9600000000000003e-06
~:0:<method 'split' of 'str' objects>,2,1.3750000000000002e-06,1.3750000000000002e-06
~:0:<method 'join' of 'str' objects>,1,5.420000000000001e-07,5.420000000000001e-07
~:0:<method 'find' of 'str' objects>,2,6.25e-07,6.25e-07
~:0:<method 'lstrip' of 'str' objects>,14,2.376e-06,2.376e-06
~:0:<method 'rfind' of 'str' objects>,6,7.5e-07,7.5e-07
~:0:<method 'strip' of 'str' objects>,2,4.1700000000000004e-07,4.1700000000000004e-07
~:0:<method 'startswith' of 'str' objects>,7,1.4590000000000001e-06,1.4590000000000001e-06
~:0:<method 'endswith' of 'str' objects>,6,9.160000000000001e-07,9.160000000000001e-07
~:0:<method 'removeprefix' of 'str' objects>,4,4.99e-07,4.99e-07
~:0:<built-in method builtins.abs>,5,1.2709000000000001e-05,1.2709000000000001e-05
~:0:<built-in method builtins.all>,2,1.4570000000000002e-06,3.666e-06
~:0:<built-in method builtins.any>,2,2.251e-06,6.3760000000000004e-06
~:0:<built-in method builtins.getattr>,16,8.086e-06,8.086e-06
~:0:<built-in method builtins.hasattr>,14,7.126e-06,7.126e-06
~:0:<built-in method builtins.isinstance>,84,1.8500000000000002e-05,8.445800000000001e-05
~:0:<built-in method builtins.issubclass>,28,8.791000000000001e-06,8.791000000000001e-06
~:0:<built-in method builtins.iter>,1,1.2500000000000002e-07,1.2500000000000002e-07
~:0:<built-in method builtins.len>,74,9.543e-06,9.543e-06
~:0:<built-in method builtins.max>,18278,0.001136536,0.001136536
~:0:<built-in method builtins.min>,1,3.3300000000000003e-07,3.3300000000000003e-07
~:0:<built-in method builtins.sorted>,3,0.0024789580000000003,0.0024789580000000003
~:0:<built-in method builtins.sum>,1,1.875e-06,4.792e-06
~:0:<method 'set' of '_contextvars.ContextVar' objects>,2,1.667e-06,1.667e-06
~:0:<method 'reset' of '_contextvars.ContextVar' objects>,2,1.0420000000000001e-06,1.0420000000000001e-06
~:0:<built-in method sys.intern>,6,4.834000000000001e-06,4.834000000000001e-06
~:0:<built-in method posix.stat>,1,1.1083e-05,1.1083e-05
~:0:<built-in method posix.getcwd>,1,9.333300000000001e-05,9.333300000000001e-05
~:0:<built-in method posix._path_splitroot_ex>,1,1.0420000000000001e-06,1.0420000000000001e-06
~:0:<built-in method posix._path_normpath>,3,1.0840000000000001e-06,1.0840000000000001e-06
~:0:<built-in method posix.fspath>,17,2.2080000000000003e-06,3.7124e-05
~:0:<built-in method _codecs.utf_8_decode>,3,6.791000000000001e-06,6.791000000000001e-06
~:0:<built-in method _io.open>,1,0.000222,0.000224333
~:0:<method 'close' of '_io.TextIOWrapper' objects>,1,4.834000000000001e-06,4.834000000000001e-06
~:0:<built-in method _abc._abc_instancecheck>,4,1.5124000000000001e-05,6.3625e-05
~:0:<built-in method _abc._abc_subclasscheck>,28,4.1168e-05,4.7417000000000004e-05
~:0:<built-in method _operator.index>,8,1.543e-06,1.543e-06
fromnumeric.py:3735:mean,3,1.0542e-05,8.5542e-05
fromnumeric.py:1904:ravel,21,1.217e-05,2.8291e-05
fromnumeric.py:1621:squeeze,1,1.667e-06,2.0000000000000003e-06
numerictypes.py:293:issubclass_,14,7.922e-06,1.4045e-05
multiarray.py:188:concatenate,16,1.416e-06,1.416e-06
numeric.py:171:ones,1,7.209000000000001e-06,8.875e-06
_ufunc_config.py:436:__init__,2,3.3300000000000003e-07,3.3300000000000003e-07
fromnumeric.py:3523:ndim,5,4.041e-06,6.4170000000000006e-06
numeric.py:2465:<genexpr>,10,3.085e-06,5.293e-06
shape_base.py:295:hstack,4,3.9585e-05,6.5251e-05
fromnumeric.py:51:_wrapfunc,8,1.4499000000000001e-05,0.00027962500000000003
fromnumeric.py:757:partition,1,2.25e-06,4.0167000000000004e-05
numeric.py:324:full,4,1.2668000000000001e-05,1.825e-05
numeric.py:1964:isscalar,2,8.32e-07,1.416e-06
fromnumeric.py:109:take,1,6.25e-07,9.8375e-05
fromnumeric.py:1129:argsort,1,1.667e-06,3.9958e-05
fromnumeric.py:2879:cumsum,2,2.209e-06,7.562600000000001e-05
fromnumeric.py:89:_wrapreduction_any_all,9,1.3247e-05,3.9501e-05
getlimits.py:722:max,3,7.91e-07,7.91e-07
_ufunc_config.py:462:__exit__,2,1.458e-06,2.5e-06
fromnumeric.py:3052:max,1,1.542e-06,1.0334000000000001e-05
fromnumeric.py:3328:prod,3,3.3760000000000004e-06,6.775000000000001e-05
numeric.py:1469:<genexpr>,8,2.041e-06,2.5e-06
multiarray.py:115:empty_like,7,5.84e-07,5.84e-07
multiarray.py:698:result_type,17,1.003e-06,1.003e-06
fromnumeric.py:105:_take_dispatcher,1,8.400000000000001e-08,8.400000000000001e-08
fromnumeric.py:1250:argmax,1,2.8340000000000003e-06,1.7e-05
_methods.py:57:_any,5,3.2910000000000003e-06,2.6291000000000003e-05
_methods.py:66:_all,4,1.3350000000000001e-06,8.085e-06
numeric.py:2279:allclose,2,5.833000000000001e-06,0.00015345700000000002
shape_base.py:208:_arrays_for_stack_dispatcher,4,1.8760000000000001e-06,3.209e-06
multiarray.py:391:where,6,6.660000000000001e-07,6.660000000000001e-07
multiarray.py:769:dot,2,2.09e-07,2.09e-07
multiarray.py:1106:copyto,5,4.56e-07,4.56e-07
numerictypes.py:475:issubdtype,7,8.454e-06,2.3125000000000003e-05
fromnumeric.py:2338:sum,2,3.7090000000000004e-06,1.4042e-05
fromnumeric.py:2236:_clip_dispatcher,3,3.75e-07,3.75e-07
fromnumeric.py:2472:_any_dispatcher,3,4.5800000000000005e-07,4.5800000000000005e-07
fromnumeric.py:2584:_all_dispatcher,6,7.5e-07,7.5e-07
fromnumeric.py:3730:_mean_dispatcher,3,4.1700000000000004e-07,4.1700000000000004e-07
shape_base.py:216:_vhstack_dispatcher,4,2.291e-06,5.500000000000001e-06
numeric.py:2275:_allclose_dispatcher,2,2.09e-07,2.09e-07
numeric.py:2369:_isclose_dispatcher,2,3.3300000000000003e-07,3.3300000000000003e-07
fromnumeric.py:2477:any,3,2.916e-06,1.4667e-05
fromnumeric.py:2589:all,6,3.542e-06,3.1292000000000005e-05
fromnumeric.py:753:_partition_dispatcher,1,4.2000000000000006e-08,4.2000000000000006e-08
fromnumeric.py:1125:_argsort_dispatcher,1,1.2500000000000002e-07,1.2500000000000002e-07
fromnumeric.py:1246:_argmax_dispatcher,1,8.400000000000001e-08,8.400000000000001e-08
fromnumeric.py:1617:_squeeze_dispatcher,1,1.67e-07,1.67e-07
fromnumeric.py:1900:_ravel_dispatcher,21,1.8760000000000001e-06,1.8760000000000001e-06
fromnumeric.py:2333:_sum_dispatcher,2,2.09e-07,2.09e-07
fromnumeric.py:2875:_cumsum_dispatcher,2,2.92e-07,2.92e-07
fromnumeric.py:3047:_max_dispatcher,1,8.400000000000001e-08,8.400000000000001e-08
fromnumeric.py:3323:_prod_dispatcher,3,2.92e-07,2.92e-07
fromnumeric.py:3519:_ndim_dispatcher,5,3.35e-07,3.35e-07
_methods.py:45:_amin,3,1.458e-06,0.00022933300000000002
_methods.py:49:_sum,1,5.830000000000001e-07,5.375e-06
_stride_tricks_impl.py:413:_broadcast_shape,8,1.7042e-05,1.7834000000000002e-05
_stride_tricks_impl.py:481:broadcast_arrays,8,1.8585000000000002e-05,6.025e-05
shape_base.py:17:_atleast_1d_dispatcher,6,4.59e-07,4.59e-07
numeric.py:1478:_moveaxis_dispatcher,2,1.67e-07,1.67e-07
shape_base.py:21:atleast_1d,6,9.001e-06,2.8374000000000003e-05
_datasource.py:371:abspath,1,3.124e-06,2.5041000000000003e-05
