function,ncalls,tottime,cumtime
fromnumeric.py:3523:ndim,5,3.5430000000000002e-06,5.4180000000000005e-06
numeric.py:2465:<genexpr>,10,3.123e-06,4.915e-06
shape_base.py:295:hstack,4,2.9831000000000003e-05,4.0041000000000005e-05
fromnumeric.py:51:_wrapfunc,8,7.1660000000000005e-06,0.000190416
fromnumeric.py:757:partition,1,2.458e-06,4.4250000000000005e-05
numeric.py:324:full,4,9.669e-06,1.3792000000000001e-05
numeric.py:1964:isscalar,2,4.99e-07,7.49e-07
fromnumeric.py:109:take,1,6.25e-07,9.429200000000001e-05
fromnumeric.py:1129:argsort,1,1.7500000000000002e-06,3.1042e-05
fromnumeric.py:2879:cumsum,2,1.167e-06,2.0624e-05
fromnumeric.py:89:_wrapreduction_any_all,9,1.1706000000000001e-05,3.2542e-05
getlimits.py:722:max,3,7.08e-07,7.08e-07
_ufunc_config.py:462:__exit__,2,1.418e-06,2.375e-06
fromnumeric.py:3052:max,1,1.0000000000000002e-06,7.625000000000001e-06
fromnumeric.py:3328:prod,3,2.584e-06,7.1167e-05
numeric.py:1469:<genexpr>,8,1.542e-06,2.042e-06
multiarray.py:115:empty_like,7,5.830000000000001e-07,5.830000000000001e-07
multiarray.py:698:result_type,17,1.125e-06,1.125e-06
fromnumeric.py:105:_take_dispatcher,1,8.3e-08,8.3e-08
fromnumeric.py:1250:argmax,1,1.126e-06,1.0167000000000001e-05
_methods.py:57:_any,5,3.041e-06,1.3874000000000001e-05
_methods.py:66:_all,4,1.4170000000000002e-06,6.625e-06
numeric.py:2279:allclose,2,5.834e-06,0.00012800000000000002
shape_base.py:208:_arrays_for_stack_dispatcher,4,1.543e-06,2.418e-06
multiarray.py:391:where,6,7.08e-07,7.08e-07
multiarray.py:769:dot,2,3.3300000000000003e-07,3.3300000000000003e-07
multiarray.py:1106:copyto,5,4.1700000000000004e-07,4.1700000000000004e-07
numerictypes.py:475:issubdtype,7,6.248e-06,1.6416e-05
fromnumeric.py:2338:sum,2,3.0420000000000003e-06,1.0375000000000001e-05
fromnumeric.py:2236:_clip_dispatcher,3,3.75e-07,3.75e-07
fromnumeric.py:2472:_any_dispatcher,3,2.08e-07,2.08e-07
fromnumeric.py:2584:_all_dispatcher,6,6.25e-07,6.25e-07
fromnumeric.py:3730:_mean_dispatcher,3,3.3300000000000003e-07,3.3300000000000003e-07
shape_base.py:216:_vhstack_dispatcher,4,2.081e-06,4.4990000000000005e-06
numeric.py:2275:_allclose_dispatcher,2,2.92e-07,2.92e-07
numeric.py:2369:_isclose_dispatcher,2,1.67e-07,1.67e-07
fromnumeric.py:2477:any,3,2.666e-06,1.2875000000000001e-05
fromnumeric.py:2589:all,6,3.3760000000000004e-06,2.5709e-05
fromnumeric.py:753:_partition_dispatcher,1,1.2500000000000002e-07,1.2500000000000002e-07
fromnumeric.py:1125:_argsort_dispatcher,1,1.2500000000000002e-07,1.2500000000000002e-07
fromnumeric.py:1246:_argmax_dispatcher,1,4.1e-08,4.1e-08
fromnumeric.py:1617:_squeeze_dispatcher,1,8.400000000000001e-08,8.400000000000001e-08
fromnumeric.py:1900:_ravel_dispatcher,21,1.751e-06,1.751e-06
fromnumeric.py:2333:_sum_dispatcher,2,2.5000000000000004e-07,2.5000000000000004e-07
fromnumeric.py:2875:_cumsum_dispatcher,2,2.09e-07,2.09e-07
fromnumeric.py:3047:_max_dispatcher,1,8.400000000000001e-08,8.400000000000001e-08
fromnumeric.py:3323:_prod_dispatcher,3,2.08e-07,2.08e-07
fromnumeric.py:3519:_ndim_dispatcher,5,4.6000000000000004e-07,4.6000000000000004e-07
_methods.py:45:_amin,3,1.0420000000000001e-06,1.3959000000000001e-05
_methods.py:49:_sum,1,2.5000000000000004e-07,4.9170000000000005e-06
_stride_tricks_impl.py:413:_broadcast_shape,8,1.2501000000000001e-05,1.3044e-05
_stride_tricks_impl.py:481:broadcast_arrays,8,1.3998e-05,4.5084000000000004e-05
shape_base.py:17:_atleast_1d_dispatcher,6,4.5700000000000003e-07,4.5700000000000003e-07
numeric.py:1478:_moveaxis_dispatcher,2,1.66e-07,1.66e-07
shape_base.py:21:atleast_1d,6,8.004e-06,1.3251e-05
_datasource.py:371:abspath,1,2.875e-06,2.2708e-05
_stride_tricks_impl.py:24:_maybe_view_as_subclass,1,3.3300000000000003e-07,3.3300000000000003e-07
_function_base_impl.py:5661:append,9,2.362e-05,3.754e-05
_datasource.py:290:_possible_names,2,3.875e-06,2.3500000000000002e-05
_npyio_impl.py:816:_ensure_ndmin_ndarray,1,2.1240000000000003e-06,3.833e-06
function_base.py:21:_linspace_dispatcher,2,1.67e-07,1.67e-07
_function_base_impl.py:358:iterable,1,6.660000000000001e-07,7.91e-07
_stride_tricks_impl.py:345:<genexpr>,2,3.75e-07,3.75e-07
_function_base_impl.py:3936:median,1,3.3750000000000003e-06,8.562500000000001e-05
_datasource.py:128:keys,5,5.2500000000000006e-06,1.0918000000000001e-05
_type_check_impl.py:84:real,2,7.5e-07,7.5e-07
_datasource.py:483:open,1,4.875e-06,0.0003665
_datasource.py:299:_isurl,3,6.126e-06,3.1917e-05
_function_base_impl.py:1387:_diff_dispatcher,6,1.9590000000000002e-06,1.9590000000000002e-06
~:0:<method 'all' of 'numpy.generic' objects>,4,4.834000000000001e-06,1.1459e-05
~:0:<method 'any' of 'numpy.generic' objects>,1,1.167e-06,2.875e-06
~:0:<method 'as_arrays' of 'numpy._core._multiarray_umath._array_converter' objects>,2,3.34e-07,3.34e-07
~:0:<method 'result_type' of 'numpy._core._multiarray_umath._array_converter' objects>,2,8.340000000000001e-07,8.340000000000001e-07
~:0:<method 'wrap' of 'numpy._core._multiarray_umath._array_converter' objects>,2,5.01e-07,5.01e-07
~:0:<method 'any' of 'numpy.ndarray' objects>,4,4.2510000000000005e-06,1.6417000000000002e-05
~:0:<method 'argmax' of 'numpy.ndarray' objects>,1,7.667000000000001e-06,7.667000000000001e-06
~:0:<method 'argsort' of 'numpy.ndarray' objects>,1,2.7083e-05,2.7083e-05
~:0:<method 'astype' of 'numpy.ndarray' objects>,11,3.2959e-05,3.2959e-05
~:0:<method 'clip' of 'numpy.ndarray' objects>,3,3.4600000000000003e-06,3.6334e-05
~:0:<method 'copy' of 'numpy.ndarray' objects>,6,2.1834e-05,2.1834e-05
~:0:<method 'cumsum' of 'numpy.ndarray' objects>,2,1.7624000000000003e-05,1.7624000000000003e-05
~:0:<method 'flatten' of 'numpy.ndarray' objects>,1,8.5e-06,8.5e-06
