function,ncalls,tottime,cumtime
~:0:<method 'disable' of '_lsprof.Profiler' objects>,1,9.083000000000001e-06,9.083000000000001e-06
~:0:<built-in method math.factorial>,3,8.750000000000001e-07,8.750000000000001e-07
~:0:<built-in method math.prod>,1,7.5e-07,7.5e-07
~:0:<method 'append' of 'list' objects>,38,4.418e-06,4.418e-06
~:0:<method 'insert' of 'list' objects>,2,5.84e-07,5.84e-07
~:0:<method 'index' of 'list' objects>,1,1.66e-07,1.66e-07
~:0:<method 'bit_length' of 'int' objects>,3,5.84e-07,5.84e-07
~:0:<method 'get' of 'dict' objects>,8,1.666e-06,1.666e-06
~:0:<method 'pop' of 'dict' objects>,2,5.830000000000001e-07,5.830000000000001e-07
~:0:<method 'keys' of 'dict' objects>,5,7.930000000000001e-07,7.930000000000001e-07
~:0:<method 'items' of 'dict' objects>,15,2.333e-06,2.333e-06
~:0:<method 'update' of 'dict' objects>,2,1.5e-06,1.5e-06
~:0:<method 'copy' of 'dict' objects>,1,4.1700000000000004e-07,4.1700000000000004e-07
~:0:<built-in method __new__ of type object at 0x10565bcf0>,7,1.6250000000000001e-06,1.6250000000000001e-06
~:0:<method 'replace' of 'str' objects>,12,1.7920000000000002e-06,1.7920000000000002e-06
~:0:<method 'split' of 'str' objects>,2,1.418e-06,1.418e-06
~:0:<method 'join' of 'str' objects>,1,3.3300000000000003e-07,3.3300000000000003e-07
~:0:<method 'find' of 'str' objects>,2,4.59e-07,4.59e-07
~:0:<method 'lstrip' of 'str' objects>,14,1.791e-06,1.791e-06
~:0:<method 'rfind' of 'str' objects>,6,7.49e-07,7.49e-07
~:0:<method 'strip' of 'str' objects>,2,4.1700000000000004e-07,4.1700000000000004e-07
~:0:<method 'startswith' of 'str' objects>,7,1.4590000000000001e-06,1.4590000000000001e-06
~:0:<method 'endswith' of 'str' objects>,6,7.08e-07,7.08e-07
~:0:<method 'removeprefix' of 'str' objects>,4,4.5800000000000005e-07,4.5800000000000005e-07
~:0:<built-in method builtins.abs>,5,1.6040000000000002e-05,1.6040000000000002e-05
~:0:<built-in method builtins.all>,2,1.1690000000000002e-06,2.751e-06
~:0:<built-in method builtins.any>,2,1.666e-06,5.1260000000000006e-06
~:0:<built-in method builtins.getattr>,14,4.5840000000000005e-06,4.5840000000000005e-06
~:0:<built-in method builtins.hasattr>,30248,0.0025754890000000003,0.0025754890000000003
~:0:<built-in method builtins.isinstance>,45435,0.0031562530000000004,0.0032104190000000004
~:0:<built-in method builtins.issubclass>,30262,0.002188001,0.002188001
~:0:<built-in method builtins.iter>,1,8.3e-08,8.3e-08
~:0:<built-in method builtins.len>,74,6.715e-06,6.715e-06
~:0:<built-in method builtins.max>,1,4.1700000000000004e-07,4.1700000000000004e-07
~:0:<built-in method builtins.min>,1,2.92e-07,2.92e-07
~:0:<built-in method builtins.sorted>,3,0.001886375,0.001886375
~:0:<built-in method builtins.sum>,1,1.5410000000000002e-06,4.208e-06
~:0:<method 'set' of '_contextvars.ContextVar' objects>,2,2.0830000000000002e-06,2.0830000000000002e-06
~:0:<method 'reset' of '_contextvars.ContextVar' objects>,2,1.125e-06,1.125e-06
~:0:<built-in method sys.intern>,6,3.001e-06,3.001e-06
~:0:<built-in method posix.stat>,1,1.2250000000000001e-05,1.2250000000000001e-05
~:0:<built-in method posix.getcwd>,1,0.000246417,0.000246417
~:0:<built-in method posix._path_splitroot_ex>,1,1.0840000000000001e-06,1.0840000000000001e-06
~:0:<built-in method posix._path_normpath>,3,1.709e-06,1.709e-06
~:0:<built-in method posix.fspath>,17,2.375e-06,3.2875e-05
~:0:<built-in method _codecs.utf_8_decode>,3,4.957e-06,4.957e-06
~:0:<built-in method _io.open>,1,0.000147083,0.00014829100000000002
~:0:<method 'close' of '_io.TextIOWrapper' objects>,1,2.917e-06,2.917e-06
~:0:<built-in method _abc._abc_instancecheck>,4,1.0127000000000001e-05,5.1959e-05
~:0:<built-in method _abc._abc_subclasscheck>,28,3.4953e-05,4.0792000000000005e-05
~:0:<built-in method _operator.index>,8,9.59e-07,9.59e-07
<frozen codecs>:263:__init__,1,2.92e-07,2.92e-07
<frozen abc>:117:__instancecheck__,4,2.2070000000000002e-06,5.4166e-05
<frozen abc>:121:__subclasscheck__,28,3.962e-06,4.1832e-05
<frozen genericpath>:157:_splitext,3,2.669e-06,3.418e-06
_local.py:237:_format_parsed_parts,1,7.5e-07,1.083e-06
<frozen codecs>:312:__init__,1,9.160000000000001e-07,1.2080000000000001e-06
<frozen posixpath>:131:splitdrive,4,1.1240000000000002e-06,1.416e-06
<frozen codecs>:334:getstate,3,1.2080000000000001e-06,1.2080000000000001e-06
<frozen genericpath>:16:exists,1,1.5e-06,1.375e-05
<frozen _collections_abc>:108:_check_methods,1,1.917e-06,1.917e-06
<frozen posixpath>:117:splitext,3,3.2060000000000003e-06,7.249e-06
<frozen codecs>:322:decode,3,2.542e-06,7.4990000000000005e-06
<frozen os>:1127:__subclasshook__,1,1.0000000000000002e-06,2.917e-06
<frozen posixpath>:42:_get_sep,3,6.240000000000001e-07,1.083e-06
contextlib.py:361:__enter__,1,1.2500000000000002e-07,1.2500000000000002e-07
_local.py:166:__fspath__,1,1.292e-06,3.0833e-05
contextlib.py:359:__init__,1,2.92e-07,2.92e-07
contextlib.py:786:__init__,1,7.91e-07,7.91e-07
_local.py:289:drive,1,2.9590000000000004e-06,2.4e-05
_local.py:298:root,1,8.400000000000001e-08,8.400000000000001e-08
_local.py:307:_tail,1,1.2500000000000002e-07,1.2500000000000002e-07
_local.py:277:_raw_path,1,1.791e-06,1.1416e-05
contextlib.py:363:__exit__,1,1.0000000000000002e-06,3.917e-06
_local.py:227:__str__,1,4.249e-06,2.9541e-05
getlimits.py:709:min,3,1.8340000000000001e-06,1.8340000000000001e-06
fromnumeric.py:3735:mean,3,7.001e-06,6.5584e-05
fromnumeric.py:1904:ravel,21,1.0215000000000001e-05,2.1126e-05
fromnumeric.py:1621:squeeze,1,1.209e-06,1.667e-06
numerictypes.py:293:issubclass_,14,4.711e-06,8.919e-06
multiarray.py:188:concatenate,14,1.0810000000000001e-06,1.0810000000000001e-06
numeric.py:171:ones,1,3.334e-06,4.000000000000001e-06
_ufunc_config.py:436:__init__,2,2.92e-07,2.92e-07
fromnumeric.py:3523:ndim,5,2.917e-06,4.542e-06
numeric.py:2465:<genexpr>,10,2.832e-06,3.999e-06
shape_base.py:295:hstack,4,6.6751e-05,7.6875e-05
fromnumeric.py:51:_wrapfunc,6,5.832e-06,0.000157333
fromnumeric.py:757:partition,1,2.751e-06,2.6375e-05
numeric.py:324:full,4,1.6917e-05,2.0959e-05
numeric.py:1964:isscalar,2,4.99e-07,7.49e-07
fromnumeric.py:109:take,1,6.25e-07,8.3084e-05
fromnumeric.py:1129:argsort,1,1.667e-06,2.7334000000000003e-05
fromnumeric.py:89:_wrapreduction_any_all,9,1.0628e-05,3.1293e-05
getlimits.py:722:max,3,1.125e-06,1.125e-06
_ufunc_config.py:462:__exit__,2,1.0420000000000001e-06,2.167e-06
fromnumeric.py:3052:max,1,5.830000000000001e-07,4.416000000000001e-06
fromnumeric.py:3328:prod,3,2.334e-06,5.0625000000000004e-05
numeric.py:1469:<genexpr>,8,1.5e-06,1.917e-06
multiarray.py:115:empty_like,7,5.4e-07,5.4e-07
multiarray.py:698:result_type,17,1.043e-06,1.043e-06
fromnumeric.py:105:_take_dispatcher,1,1.2500000000000002e-07,1.2500000000000002e-07
fromnumeric.py:1250:argmax,1,1.083e-06,1.0833000000000001e-05
_methods.py:57:_any,5,2.125e-06,1.3208000000000001e-05
_methods.py:66:_all,4,1.125e-06,6.25e-06
numeric.py:2279:allclose,2,6.5000000000000004e-06,0.0001265
shape_base.py:208:_arrays_for_stack_dispatcher,4,1.584e-06,2.584e-06
multiarray.py:391:where,6,9.18e-07,9.18e-07
multiarray.py:769:dot,2,2.08e-07,2.08e-07
multiarray.py:1106:copyto,5,3.7600000000000003e-07,3.7600000000000003e-07
numerictypes.py:475:issubdtype,7,6.041e-06,1.5626000000000003e-05
fromnumeric.py:2338:sum,2,3.293e-06,9.584e-06
fromnumeric.py:2236:_clip_dispatcher,3,4.1700000000000004e-07,4.1700000000000004e-07
fromnumeric.py:2472:_any_dispatcher,3,3.3300000000000003e-07,3.3300000000000003e-07
fromnumeric.py:2584:_all_dispatcher,6,5.43e-07,5.43e-07
fromnumeric.py:3730:_mean_dispatcher,3,2.08e-07,2.08e-07
fromnumeric.py:3864:_std_dispatcher,15117,0.000841451,0.000841451
shape_base.py:216:_vhstack_dispatcher,4,3.041e-06,5.625e-06
numeric.py:2275:_allclose_dispatcher,2,2.5000000000000004e-07,2.5000000000000004e-07
numeric.py:2369:_isclose_dispatcher,2,2.09e-07,2.09e-07
fromnumeric.py:2477:any,3,2.5410000000000003e-06,1.2333e-05
fromnumeric.py:2589:all,6,3.0820000000000003e-06,2.4583e-05
fromnumeric.py:753:_partition_dispatcher,1,1.2500000000000002e-07,1.2500000000000002e-07
fromnumeric.py:1125:_argsort_dispatcher,1,1.2500000000000002e-07,1.2500000000000002e-07
fromnumeric.py:1246:_argmax_dispatcher,1,8.3e-08,8.3e-08
fromnumeric.py:1617:_squeeze_dispatcher,1,8.400000000000001e-08,8.400000000000001e-08
fromnumeric.py:1900:_ravel_dispatcher,21,1.8340000000000001e-06,1.8340000000000001e-06
fromnumeric.py:2333:_sum_dispatcher,2,2.49e-07,2.49e-07
fromnumeric.py:3047:_max_dispatcher,1,1.2500000000000002e-07,1.2500000000000002e-07
fromnumeric.py:3323:_prod_dispatcher,3,4.1700000000000004e-07,4.1700000000000004e-07
fromnumeric.py:3519:_ndim_dispatcher,5,7.09e-07,7.09e-07
_methods.py:45:_amin,3,9.600000000000001e-07,1.096e-05
_methods.py:49:_sum,1,4.5800000000000005e-07,4.000000000000001e-06
_stride_tricks_impl.py:413:_broadcast_shape,8,1.3876e-05,1.446e-05
_stride_tricks_impl.py:481:broadcast_arrays,8,1.7125e-05,4.8167e-05
shape_base.py:17:_atleast_1d_dispatcher,6,4.5800000000000005e-07,4.5800000000000005e-07
numeric.py:1478:_moveaxis_dispatcher,2,2.91e-07,2.91e-07
shape_base.py:21:atleast_1d,6,7.627000000000001e-06,1.3041000000000001e-05
_datasource.py:371:abspath,1,3.5400000000000004e-06,2.3458e-05
_stride_tricks_impl.py:24:_maybe_view_as_subclass,1,3.3300000000000003e-07,3.3300000000000003e-07
_function_base_impl.py:5661:append,9,1.7789000000000002e-05,3.0041000000000003e-05
_datasource.py:290:_possible_names,2,4.665e-06,2.6749e-05
_npyio_impl.py:816:_ensure_ndmin_ndarray,1,2.166e-06,3.917e-06
function_base.py:21:_linspace_dispatcher,2,2.08e-07,2.08e-07
_stride_tricks_impl.py:345:<genexpr>,2,3.34e-07,3.34e-07
_function_base_impl.py:358:iterable,1,5.420000000000001e-07,6.25e-07
_function_base_impl.py:3936:median,1,2.875e-06,7.3125e-05
_datasource.py:128:keys,5,6.042000000000001e-06,1.2293e-05
_type_check_impl.py:84:real,2,5.41e-07,5.41e-07
_datasource.py:483:open,1,9.584e-06,0.00027
_datasource.py:299:_isurl,3,8.458000000000001e-06,3.8959000000000004e-05
_function_base_impl.py:1387:_diff_dispatcher,6,5.830000000000001e-07,5.830000000000001e-07
~:0:<method 'all' of 'numpy.generic' objects>,4,4.916e-06,1.1166000000000001e-05
~:0:<method 'any' of 'numpy.generic' objects>,1,1.126e-06,2.917e-06
~:0:<method 'as_arrays' of 'numpy._core._multiarray_umath._array_converter' objects>,2,4.16e-07,4.16e-07
~:0:<method 'result_type' of 'numpy._core._multiarray_umath._array_converter' objects>,2,9.99e-07,9.99e-07
