function,ncalls,tottime,cumtime
numeric.py:2465:<genexpr>,10,3.294e-06,5.127e-06
shape_base.py:295:hstack,4,0.000190625,0.00020058400000000002
fromnumeric.py:51:_wrapfunc,8,8.25e-06,0.00044837500000000004
fromnumeric.py:757:partition,1,2.582e-06,0.000634291
numeric.py:324:full,4,9.5e-06,1.3625e-05
numeric.py:1964:isscalar,2,3.7600000000000003e-07,6.26e-07
fromnumeric.py:109:take,1,6.240000000000001e-07,8.479100000000001e-05
fromnumeric.py:1129:argsort,1,1.5e-06,0.000286166
fromnumeric.py:2879:cumsum,2,1.1660000000000001e-06,1.9625000000000003e-05
fromnumeric.py:89:_wrapreduction_any_all,9,1.1254000000000001e-05,3.4833000000000003e-05
getlimits.py:722:max,3,7.92e-07,7.92e-07
_ufunc_config.py:462:__exit__,2,1.291e-06,2.792e-06
fromnumeric.py:3052:max,1,8.340000000000001e-07,8.917000000000001e-06
fromnumeric.py:3328:prod,3,3.7490000000000004e-06,6.6958e-05
numeric.py:1469:<genexpr>,8,1.7500000000000002e-06,2.209e-06
multiarray.py:115:empty_like,7,7.08e-07,7.08e-07
multiarray.py:698:result_type,17,1.167e-06,1.167e-06
fromnumeric.py:105:_take_dispatcher,1,8.400000000000001e-08,8.400000000000001e-08
fromnumeric.py:1250:argmax,1,1.25e-06,1.2667000000000001e-05
_methods.py:57:_any,5,2.5010000000000003e-06,1.3751000000000001e-05
_methods.py:66:_all,4,1.6260000000000002e-06,7.667000000000001e-06
numeric.py:2279:allclose,2,6.126e-06,0.000132458
shape_base.py:208:_arrays_for_stack_dispatcher,4,1.374e-06,2.333e-06
multiarray.py:391:where,6,7.09e-07,7.09e-07
multiarray.py:769:dot,2,2.91e-07,2.91e-07
multiarray.py:1106:copyto,5,4.18e-07,4.18e-07
numerictypes.py:475:issubdtype,7,6.2080000000000005e-06,1.6209e-05
fromnumeric.py:2338:sum,2,3.458e-06,1.2458e-05
fromnumeric.py:2236:_clip_dispatcher,3,4.5800000000000005e-07,4.5800000000000005e-07
fromnumeric.py:2472:_any_dispatcher,3,2.91e-07,2.91e-07
fromnumeric.py:2584:_all_dispatcher,6,6.650000000000001e-07,6.650000000000001e-07
fromnumeric.py:3730:_mean_dispatcher,3,5.000000000000001e-07,5.000000000000001e-07
shape_base.py:216:_vhstack_dispatcher,4,2.085e-06,4.418e-06
numeric.py:2275:_allclose_dispatcher,2,2.5000000000000004e-07,2.5000000000000004e-07
numeric.py:2369:_isclose_dispatcher,2,1.66e-07,1.66e-07
fromnumeric.py:2477:any,3,2.791e-06,1.2416000000000001e-05
fromnumeric.py:2589:all,6,3.0420000000000003e-06,2.8250000000000002e-05
fromnumeric.py:753:_partition_dispatcher,1,8.3e-08,8.3e-08
fromnumeric.py:1125:_argsort_dispatcher,1,1.2500000000000002e-07,1.2500000000000002e-07
fromnumeric.py:1246:_argmax_dispatcher,1,8.400000000000001e-08,8.400000000000001e-08
fromnumeric.py:1617:_squeeze_dispatcher,1,8.400000000000001e-08,8.400000000000001e-08
fromnumeric.py:1900:_ravel_dispatcher,21,1.6680000000000002e-06,1.6680000000000002e-06
fromnumeric.py:2333:_sum_dispatcher,2,1.67e-07,1.67e-07
fromnumeric.py:2875:_cumsum_dispatcher,2,2.09e-07,2.09e-07
fromnumeric.py:3047:_max_dispatcher,1,4.2000000000000006e-08,4.2000000000000006e-08
fromnumeric.py:3323:_prod_dispatcher,3,3.3300000000000003e-07,3.3300000000000003e-07
fromnumeric.py:3519:_ndim_dispatcher,5,5.000000000000001e-07,5.000000000000001e-07
_methods.py:45:_amin,3,1.2080000000000001e-06,0.00019395800000000002
_methods.py:49:_sum,1,3.34e-07,4.9170000000000005e-06
_stride_tricks_impl.py:413:_broadcast_shape,8,1.4668000000000001e-05,1.5666000000000002e-05
_stride_tricks_impl.py:481:broadcast_arrays,8,1.7457000000000002e-05,5.1249000000000003e-05
shape_base.py:17:_atleast_1d_dispatcher,6,3.32e-07,3.32e-07
numeric.py:1478:_moveaxis_dispatcher,2,1.66e-07,1.66e-07
shape_base.py:21:atleast_1d,6,7.79e-06,1.3001000000000001e-05
_datasource.py:371:abspath,1,3.5840000000000003e-06,2.6833000000000002e-05
_stride_tricks_impl.py:24:_maybe_view_as_subclass,1,2.5000000000000004e-07,2.5000000000000004e-07
_function_base_impl.py:5661:append,9,1.7624000000000003e-05,2.9542000000000003e-05
_datasource.py:290:_possible_names,2,4.333e-06,2.6959e-05
_npyio_impl.py:816:_ensure_ndmin_ndarray,1,2.25e-06,4.334e-06
function_base.py:21:_linspace_dispatcher,2,2.09e-07,2.09e-07
_stride_tricks_impl.py:345:<genexpr>,2,3.3300000000000003e-07,3.3300000000000003e-07
_function_base_impl.py:358:iterable,1,7.91e-07,8.750000000000001e-07
_function_base_impl.py:3936:median,1,3e-06,0.0006769170000000001
_datasource.py:128:keys,5,6.418e-06,1.1875e-05
_type_check_impl.py:84:real,2,6.67e-07,6.67e-07
_datasource.py:483:open,1,5.249e-06,0.00039812500000000004
_datasource.py:299:_isurl,3,6.4170000000000006e-06,3.5084000000000005e-05
_function_base_impl.py:1387:_diff_dispatcher,6,4.99e-07,4.99e-07
~:0:<method 'all' of 'numpy.generic' objects>,4,6.124e-06,1.3791e-05
~:0:<method 'any' of 'numpy.generic' objects>,1,1.6250000000000001e-06,3.75e-06
~:0:<method 'as_arrays' of 'numpy._core._multiarray_umath._array_converter' objects>,2,4.16e-07,4.16e-07
~:0:<method 'result_type' of 'numpy._core._multiarray_umath._array_converter' objects>,2,8.33e-07,8.33e-07
